'Time and date','ABPmean','ABPsys','ABPdias','HR','PULSE','RESP','SpO2','classe'
["'[02:20:31 22/10/1994]'", 74.0, 101.0, 61.0, 135.0, 128.0, 9.0, 97.0, 'Normal']
["'[02:20:32 22/10/1994]'", 75.0, 103.0, 62.0, 135.0, 128.0, 9.0, 97.0, 'Normal']
["'[02:20:33 22/10/1994]'", 75.0, 102.0, 62.0, 133.0, 128.0, 9.0, 97.0, 'Normal']
["'[02:20:34 22/10/1994]'", 74.0, 100.0, 61.0, 133.0, 128.0, 9.0, 97.0, 'Normal']
["'[02:20:35 22/10/1994]'", 73.0, 100.0, 61.0, 132.0, 128.0, 9.0, 98.0, 'Normal']
["'[02:20:36 22/10/1994]'", 74.0, 101.0, 61.0, 132.0, 128.0, 9.0, 98.0, 'Normal']
["'[02:20:37 22/10/1994]'", 74.0, 101.0, 62.0, 132.0, 129.0, 9.0, 98.0, 'Normal']
["'[02:20:38 22/10/1994]'", 73.0, 100.0, 61.0, 132.0, 129.0, 9.0, 97.0, 'Normal']
["'[02:20:39 22/10/1994]'", 73.0, 100.0, 61.0, 133.0, 129.0, 9.0, 97.0, 'Normal']
["'[02:20:40 22/10/1994]'", 73.0, 100.0, 60.0, 133.0, 129.0, 9.0, 97.0, 'Normal']
["'[02:20:41 22/10/1994]'", 74.0, 101.0, 61.0, 133.0, 126.0, 9.0, 97.0, 'Normal']
["'[02:20:42 22/10/1994]'", 73.0, 100.0, 61.0, 133.0, 125.0, 9.0, 97.0, 'Normal']
["'[02:20:43 22/10/1994]'", 73.0, 99.0, 60.0, 133.0, 122.0, 9.0, 97.0, 'Normal']
["'[02:20:44 22/10/1994]'", 72.0, 99.0, 60.0, 133.0, 122.0, 9.0, 97.0, 'Normal']
["'[02:20:45 22/10/1994]'", 74.0, 101.0, 61.0, 133.0, 122.0, 9.0, 97.0, 'Normal']
["'[02:20:46 22/10/1994]'", 73.0, 100.0, 61.0, 133.0, 122.0, 9.0, 97.0, 'Normal']
["'[02:20:48 22/10/1994]'", 73.0, 99.0, 60.0, 133.0, 122.0, 9.0, 97.0, 'Normal']
["'[02:20:49 22/10/1994]'", 72.0, 99.0, 60.0, 133.0, 122.0, 9.0, 97.0, 'Normal']
["'[02:20:50 22/10/1994]'", 74.0, 100.0, 61.0, 133.0, 122.0, 9.0, 97.0, 'Normal']
["'[02:20:51 22/10/1994]'", 73.0, 99.0, 60.0, 133.0, 122.0, 10.0, 97.0, 'Normal']
["'[02:20:52 22/10/1994]'", 72.0, 98.0, 60.0, 133.0, 122.0, 10.0, 97.0, 'Normal']
["'[02:20:53 22/10/1994]'", 72.0, 98.0, 59.0, 133.0, 122.0, 10.0, 97.0, 'Normal']
["'[02:20:54 22/10/1994]'", 73.0, 99.0, 60.0, 133.0, 122.0, 10.0, 97.0, 'Normal']
["'[02:20:55 22/10/1994]'", 73.0, 100.0, 61.0, 133.0, 122.0, 11.0, 97.0, 'Normal']
["'[02:20:56 22/10/1994]'", 73.0, 99.0, 60.0, 133.0, 122.0, 11.0, 97.0, 'Normal']
["'[02:20:57 22/10/1994]'", 72.0, 98.0, 59.0, 133.0, 116.0, 11.0, 97.0, 'Normal']
["'[02:20:58 22/10/1994]'", 72.0, 98.0, 59.0, 134.0, 116.0, 11.0, 97.0, 'Normal']
["'[02:20:59 22/10/1994]'", 73.0, 99.0, 60.0, 134.0, 113.0, 11.0, 97.0, 'Normal']
["'[02:21:00 22/10/1994]'", 73.0, 99.0, 60.0, 134.0, 110.0, 11.0, 97.0, 'Normal']
["'[02:21:01 22/10/1994]'", 72.0, 98.0, 60.0, 133.0, 110.0, 11.0, 97.0, 'Normal']
["'[02:21:02 22/10/1994]'", 72.0, 98.0, 59.0, 133.0, 108.0, 11.0, 97.0, 'Normal']
["'[02:21:03 22/10/1994]'", 72.0, 98.0, 59.0, 133.0, 108.0, 11.0, 97.0, 'Normal']
["'[02:21:04 22/10/1994]'", 73.0, 100.0, 60.0, 133.0, 123.0, 11.0, 97.0, 'Normal']
["'[02:21:05 22/10/1994]'", 72.0, 99.0, 60.0, 133.0, 126.0, 11.0, 97.0, 'Normal']
["'[02:21:06 22/10/1994]'", 71.0, 98.0, 59.0, 133.0, 126.0, 11.0, 97.0, 'Normal']
["'[02:21:07 22/10/1994]'", 71.0, 97.0, 59.0, 134.0, 129.0, 11.0, 97.0, 'Normal']
["'[02:21:08 22/10/1994]'", 72.0, 99.0, 59.0, 134.0, 130.0, 11.0, 97.0, 'Normal']
["'[02:21:09 22/10/1994]'", 72.0, 99.0, 59.0, 134.0, 130.0, 11.0, 97.0, 'Normal']
["'[02:21:10 22/10/1994]'", 72.0, 98.0, 59.0, 134.0, 130.0, 11.0, 97.0, 'Normal']
["'[02:21:11 22/10/1994]'", 71.0, 97.0, 59.0, 134.0, 130.0, 11.0, 97.0, 'Normal']
["'[02:21:12 22/10/1994]'", 72.0, 98.0, 59.0, 134.0, 130.0, 11.0, 97.0, 'Normal']
["'[02:21:13 22/10/1994]'", 73.0, 99.0, 59.0, 134.0, 130.0, 10.0, 97.0, 'Normal']
["'[02:21:14 22/10/1994]'", 72.0, 99.0, 60.0, 134.0, 128.0, 9.0, 97.0, 'Normal']
["'[02:21:15 22/10/1994]'", 72.0, 98.0, 59.0, 134.0, 128.0, 8.0, 97.0, 'Normal']
["'[02:21:16 22/10/1994]'", 71.0, 97.0, 59.0, 134.0, 128.0, 7.0, 97.0, 'Normal']
["'[02:21:17 22/10/1994]'", 73.0, 99.0, 59.0, 134.0, 128.0, 6.0, 97.0, 'Normal']
["'[02:21:18 22/10/1994]'", 73.0, 99.0, 60.0, 134.0, 128.0, 10.0, 97.0, 'Normal']
["'[02:21:19 22/10/1994]'", 72.0, 98.0, 60.0, 134.0, 128.0, 10.0, 97.0, 'Normal']
["'[02:21:20 22/10/1994]'", 72.0, 98.0, 59.0, 134.0, 128.0, 10.0, 97.0, 'Normal']
["'[02:21:21 22/10/1994]'", 73.0, 99.0, 60.0, 134.0, 126.0, 10.0, 97.0, 'Normal']
["'[02:21:22 22/10/1994]'", 73.0, 99.0, 61.0, 134.0, 126.0, 10.0, 97.0, 'Normal']
["'[02:21:23 22/10/1994]'", 73.0, 99.0, 60.0, 135.0, 122.0, 10.0, 97.0, 'Normal']
["'[02:21:24 22/10/1994]'", 73.0, 99.0, 60.0, 135.0, 122.0, 10.0, 97.0, 'Normal']
["'[02:21:25 22/10/1994]'", 73.0, 99.0, 60.0, 135.0, 122.0, 10.0, 97.0, 'Normal']
["'[02:21:26 22/10/1994]'", 74.0, 101.0, 61.0, 135.0, 124.0, 10.0, 97.0, 'Normal']
["'[02:21:27 22/10/1994]'", 74.0, 100.0, 61.0, 135.0, 129.0, 10.0, 97.0, 'Normal']
["'[02:21:28 22/10/1994]'", 74.0, 99.0, 61.0, 136.0, 129.0, 10.0, 97.0, 'Normal']
["'[02:21:29 22/10/1994]'", 73.0, 100.0, 61.0, 136.0, 131.0, 10.0, 97.0, 'Normal']
["'[02:21:31 22/10/1994]'", 74.0, 100.0, 61.0, 137.0, 131.0, 10.0, 97.0, 'Normal']
["'[02:21:32 22/10/1994]'", 75.0, 101.0, 62.0, 137.0, 131.0, 10.0, 97.0, 'Normal']
["'[02:21:33 22/10/1994]'", 75.0, 101.0, 62.0, 137.0, 131.0, 10.0, 97.0, 'Normal']
["'[02:21:34 22/10/1994]'", 74.0, 100.0, 62.0, 137.0, 128.0, 10.0, 97.0, 'Normal']
["'[02:21:35 22/10/1994]'", 74.0, 100.0, 61.0, 137.0, 128.0, 10.0, 97.0, 'Normal']
["'[02:21:36 22/10/1994]'", 75.0, 102.0, 62.0, 137.0, 128.0, 10.0, 97.0, 'Normal']
["'[02:21:37 22/10/1994]'", 75.0, 101.0, 62.0, 137.0, 128.0, 10.0, 97.0, 'Normal']
["'[02:21:38 22/10/1994]'", 74.0, 100.0, 62.0, 137.0, 128.0, 10.0, 97.0, 'Normal']
["'[02:21:39 22/10/1994]'", 74.0, 100.0, 61.0, 137.0, 128.0, 10.0, 97.0, 'Normal']
["'[02:21:40 22/10/1994]'", 74.0, 101.0, 62.0, 137.0, 127.0, 10.0, 97.0, 'Normal']
["'[02:21:41 22/10/1994]'", 74.0, 101.0, 62.0, 137.0, 127.0, 10.0, 97.0, 'Normal']
["'[02:21:42 22/10/1994]'", 74.0, 100.0, 61.0, 137.0, 127.0, 10.0, 97.0, 'Normal']
["'[02:21:43 22/10/1994]'", 74.0, 100.0, 61.0, 137.0, 127.0, 10.0, 97.0, 'Normal']
["'[02:21:44 22/10/1994]'", 73.0, 99.0, 61.0, 137.0, 127.0, 10.0, 97.0, 'Normal']
["'[02:21:45 22/10/1994]'", 75.0, 102.0, 61.0, 137.0, 127.0, 10.0, 97.0, 'Normal']
["'[02:21:46 22/10/1994]'", 74.0, 101.0, 61.0, 136.0, 121.0, 11.0, 97.0, 'Normal']
["'[02:21:47 22/10/1994]'", 74.0, 100.0, 61.0, 137.0, 121.0, 11.0, 97.0, 'Normal']
["'[02:21:48 22/10/1994]'", 73.0, 100.0, 61.0, 137.0, 118.0, 11.0, 97.0, 'Normal']
["'[02:21:49 22/10/1994]'", 73.0, 99.0, 61.0, 137.0, 114.0, 11.0, 97.0, 'Normal']
["'[02:21:50 22/10/1994]'", 74.0, 101.0, 61.0, 137.0, 114.0, 11.0, 97.0, 'Normal']
["'[02:21:51 22/10/1994]'", 74.0, 100.0, 62.0, 136.0, 114.0, 10.0, 97.0, 'Normal']
["'[02:21:52 22/10/1994]'", 74.0, 100.0, 61.0, 136.0, 116.0, 10.0, 97.0, 'Normal']
["'[02:21:53 22/10/1994]'", 73.0, 99.0, 61.0, 136.0, 116.0, 10.0, 97.0, 'Normal']
["'[02:21:54 22/10/1994]'", 74.0, 101.0, 61.0, 136.0, 116.0, 10.0, 97.0, 'Normal']
["'[02:21:55 22/10/1994]'", 75.0, 101.0, 62.0, 136.0, 116.0, 13.0, 97.0, 'Normal']
["'[02:21:56 22/10/1994]'", 74.0, 100.0, 62.0, 136.0, 116.0, 13.0, 97.0, 'Normal']
["'[02:21:57 22/10/1994]'", 74.0, 100.0, 61.0, 135.0, 119.0, 13.0, 97.0, 'Normal']
["'[02:21:58 22/10/1994]'", 74.0, 100.0, 61.0, 135.0, 119.0, 13.0, 97.0, 'Normal']
["'[02:21:59 22/10/1994]'", 75.0, 101.0, 62.0, 135.0, 122.0, 13.0, 97.0, 'Normal']
["'[02:22:00 22/10/1994]'", 74.0, 101.0, 61.0, 135.0, 123.0, 13.0, 97.0, 'Normal']
["'[02:22:01 22/10/1994]'", 74.0, 100.0, 61.0, 135.0, 123.0, 13.0, 97.0, 'Normal']
["'[02:22:02 22/10/1994]'", 73.0, 99.0, 61.0, 135.0, 123.0, 13.0, 97.0, 'Normal']
["'[02:22:03 22/10/1994]'", 74.0, 101.0, 61.0, 134.0, 124.0, 13.0, 97.0, 'Normal']
["'[02:22:04 22/10/1994]'", 74.0, 100.0, 61.0, 134.0, 124.0, 13.0, 97.0, 'Normal']
["'[02:22:05 22/10/1994]'", 73.0, 99.0, 61.0, 134.0, 124.0, 13.0, 97.0, 'Normal']
["'[02:22:06 22/10/1994]'", 73.0, 99.0, 60.0, 134.0, 124.0, 13.0, 97.0, 'Normal']
["'[02:22:07 22/10/1994]'", 74.0, 101.0, 61.0, 134.0, 120.0, 13.0, 97.0, 'Normal']
["'[02:22:08 22/10/1994]'", 73.0, 100.0, 61.0, 134.0, 120.0, 13.0, 97.0, 'Normal']
["'[02:22:09 22/10/1994]'", 73.0, 100.0, 60.0, 134.0, 120.0, 13.0, 97.0, 'Normal']
["'[02:22:10 22/10/1994]'", 72.0, 99.0, 60.0, 134.0, 0.0, 13.0, 0.0, 'Critical']
["'[02:22:11 22/10/1994]'", 72.0, 99.0, 60.0, 134.0, 0.0, 13.0, 0.0, 'Critical']
["'[02:22:12 22/10/1994]'", 73.0, 100.0, 60.0, 133.0, 0.0, 13.0, 0.0, 'Critical']
["'[02:22:14 22/10/1994]'", 73.0, 99.0, 60.0, 133.0, 0.0, 13.0, 0.0, 'Critical']
["'[02:22:15 22/10/1994]'", 72.0, 98.0, 59.0, 132.0, 0.0, 13.0, 0.0, 'Critical']
["'[02:22:16 22/10/1994]'", 71.0, 98.0, 59.0, 132.0, 0.0, 13.0, 0.0, 'Critical']
["'[02:22:17 22/10/1994]'", 72.0, 99.0, 59.0, 131.0, 0.0, 13.0, 0.0, 'Critical']
["'[02:22:18 22/10/1994]'", 72.0, 99.0, 59.0, 131.0, 0.0, 13.0, 0.0, 'Critical']
["'[02:22:19 22/10/1994]'", 72.0, 98.0, 59.0, 131.0, 0.0, 13.0, 0.0, 'Critical']
["'[02:22:20 22/10/1994]'", 71.0, 98.0, 59.0, 131.0, 0.0, 13.0, 0.0, 'Critical']
["'[02:22:21 22/10/1994]'", 71.0, 97.0, 59.0, 131.0, 0.0, 13.0, 97.0, 'Normal']
["'[02:22:22 22/10/1994]'", 71.0, 98.0, 59.0, 131.0, 122.0, 13.0, 97.0, 'Normal']
["'[02:22:23 22/10/1994]'", 72.0, 98.0, 59.0, 131.0, 125.0, 13.0, 97.0, 'Normal']
["'[02:22:24 22/10/1994]'", 72.0, 98.0, 59.0, 131.0, 129.0, 13.0, 97.0, 'Normal']
["'[02:22:25 22/10/1994]'", 72.0, 98.0, 59.0, 132.0, 129.0, 13.0, 97.0, 'Normal']
["'[02:22:26 22/10/1994]'", 72.0, 98.0, 59.0, 132.0, 130.0, 13.0, 97.0, 'Normal']
["'[02:22:27 22/10/1994]'", 72.0, 98.0, 59.0, 132.0, 130.0, 13.0, 97.0, 'Normal']
["'[02:22:28 22/10/1994]'", 72.0, 98.0, 60.0, 132.0, 130.0, 13.0, 97.0, 'Normal']
["'[02:22:29 22/10/1994]'", 73.0, 99.0, 60.0, 133.0, 128.0, 13.0, 97.0, 'Normal']
["'[02:22:30 22/10/1994]'", 73.0, 99.0, 60.0, 133.0, 128.0, 13.0, 97.0, 'Normal']
["'[02:22:31 22/10/1994]'", 73.0, 99.0, 60.0, 134.0, 128.0, 13.0, 97.0, 'Normal']
["'[02:22:32 22/10/1994]'", 72.0, 98.0, 60.0, 134.0, 128.0, 13.0, 97.0, 'Normal']
["'[02:22:33 22/10/1994]'", 72.0, 98.0, 60.0, 134.0, 128.0, 13.0, 97.0, 'Normal']
["'[02:22:34 22/10/1994]'", 73.0, 99.0, 60.0, 134.0, 128.0, 13.0, 97.0, 'Normal']
["'[02:22:35 22/10/1994]'", 73.0, 100.0, 61.0, 134.0, 128.0, 11.0, 97.0, 'Normal']
["'[02:22:36 22/10/1994]'", 73.0, 99.0, 60.0, 134.0, 128.0, 11.0, 97.0, 'Normal']
["'[02:22:37 22/10/1994]'", 72.0, 98.0, 60.0, 133.0, 128.0, 11.0, 97.0, 'Normal']
["'[02:22:38 22/10/1994]'", 72.0, 98.0, 60.0, 133.0, 124.0, 11.0, 97.0, 'Normal']
["'[02:22:39 22/10/1994]'", 73.0, 99.0, 60.0, 133.0, 124.0, 11.0, 97.0, 'Normal']
["'[02:22:40 22/10/1994]'", 73.0, 99.0, 60.0, 133.0, 124.0, 11.0, 97.0, 'Normal']
["'[02:22:41 22/10/1994]'", 72.0, 98.0, 60.0, 133.0, 124.0, 11.0, 97.0, 'Normal']
["'[02:22:42 22/10/1994]'", 72.0, 98.0, 60.0, 133.0, 124.0, 11.0, 97.0, 'Normal']
["'[02:22:43 22/10/1994]'", 72.0, 98.0, 60.0, 134.0, 124.0, 11.0, 97.0, 'Normal']
["'[02:22:44 22/10/1994]'", 73.0, 100.0, 60.0, 134.0, 127.0, 11.0, 97.0, 'Normal']
["'[02:22:45 22/10/1994]'", 73.0, 99.0, 61.0, 134.0, 127.0, 11.0, 97.0, 'Normal']
["'[02:22:46 22/10/1994]'", 73.0, 98.0, 60.0, 134.0, 127.0, 11.0, 97.0, 'Normal']
["'[02:22:47 22/10/1994]'", 72.0, 98.0, 60.0, 134.0, 127.0, 11.0, 97.0, 'Normal']
["'[02:22:48 22/10/1994]'", 73.0, 99.0, 60.0, 134.0, 127.0, 11.0, 97.0, 'Normal']
["'[02:22:49 22/10/1994]'", 74.0, 99.0, 61.0, 134.0, 127.0, 9.0, 97.0, 'Normal']
["'[02:22:50 22/10/1994]'", 73.0, 99.0, 61.0, 134.0, 124.0, 9.0, 97.0, 'Normal']
["'[02:22:51 22/10/1994]'", 73.0, 99.0, 61.0, 134.0, 124.0, 9.0, 97.0, 'Normal']
["'[02:22:52 22/10/1994]'", 73.0, 99.0, 61.0, 134.0, 124.0, 9.0, 97.0, 'Normal']
["'[02:22:53 22/10/1994]'", 73.0, 99.0, 61.0, 134.0, 122.0, 9.0, 97.0, 'Normal']
["'[02:22:54 22/10/1994]'", 74.0, 100.0, 61.0, 134.0, 122.0, 9.0, 97.0, 'Normal']
["'[02:22:56 22/10/1994]'", 74.0, 100.0, 62.0, 134.0, 122.0, 9.0, 97.0, 'Normal']
["'[02:22:57 22/10/1994]'", 74.0, 100.0, 62.0, 133.0, 120.0, 9.0, 97.0, 'Normal']
["'[02:22:58 22/10/1994]'", 74.0, 100.0, 62.0, 133.0, 120.0, 9.0, 97.0, 'Normal']
["'[02:22:59 22/10/1994]'", 75.0, 101.0, 62.0, 133.0, 120.0, 9.0, 97.0, 'Normal']
["'[02:23:00 22/10/1994]'", 75.0, 101.0, 62.0, 133.0, 123.0, 9.0, 97.0, 'Normal']
["'[02:23:01 22/10/1994]'", 76.0, 103.0, 63.0, 133.0, 123.0, 9.0, 97.0, 'Normal']
["'[02:23:02 22/10/1994]'", 76.0, 102.0, 63.0, 133.0, 126.0, 8.0, 97.0, 'Normal']
["'[02:23:03 22/10/1994]'", 76.0, 103.0, 63.0, 134.0, 133.0, 8.0, 97.0, 'Normal']
["'[02:23:04 22/10/1994]'", 76.0, 103.0, 64.0, 134.0, 134.0, 8.0, 97.0, 'Normal']
["'[02:23:05 22/10/1994]'", 76.0, 103.0, 63.0, 134.0, 134.0, 8.0, 97.0, 'Normal']
["'[02:23:06 22/10/1994]'", 77.0, 104.0, 64.0, 134.0, 134.0, 8.0, 97.0, 'Normal']
["'[02:23:07 22/10/1994]'", 77.0, 103.0, 64.0, 134.0, 134.0, 8.0, 97.0, 'Normal']
["'[02:23:08 22/10/1994]'", 75.0, 102.0, 63.0, 134.0, 134.0, 8.0, 97.0, 'Normal']
["'[02:23:09 22/10/1994]'", 75.0, 101.0, 62.0, 134.0, 134.0, 8.0, 97.0, 'Normal']
["'[02:23:10 22/10/1994]'", 75.0, 102.0, 62.0, 134.0, 134.0, 8.0, 97.0, 'Normal']
["'[02:23:11 22/10/1994]'", 75.0, 101.0, 62.0, 133.0, 133.0, 8.0, 97.0, 'Normal']
["'[02:23:12 22/10/1994]'", 74.0, 101.0, 61.0, 133.0, 132.0, 8.0, 97.0, 'Normal']
["'[02:23:13 22/10/1994]'", 74.0, 100.0, 61.0, 132.0, 128.0, 8.0, 97.0, 'Normal']
["'[02:23:14 22/10/1994]'", 73.0, 100.0, 61.0, 132.0, 128.0, 8.0, 97.0, 'Normal']
["'[02:23:15 22/10/1994]'", 73.0, 100.0, 60.0, 130.0, 127.0, 8.0, 97.0, 'Normal']
["'[02:23:16 22/10/1994]'", 73.0, 100.0, 60.0, 130.0, 127.0, 8.0, 97.0, 'Normal']
["'[02:23:17 22/10/1994]'", 73.0, 100.0, 60.0, 130.0, 127.0, 7.0, 97.0, 'Normal']
["'[02:23:18 22/10/1994]'", 72.0, 99.0, 60.0, 130.0, 126.0, 7.0, 97.0, 'Normal']
["'[02:23:19 22/10/1994]'", 72.0, 98.0, 59.0, 129.0, 126.0, 7.0, 97.0, 'Normal']
["'[02:23:20 22/10/1994]'", 72.0, 98.0, 59.0, 130.0, 126.0, 7.0, 97.0, 'Normal']
["'[02:23:21 22/10/1994]'", 72.0, 99.0, 59.0, 130.0, 126.0, 7.0, 97.0, 'Normal']
["'[02:23:22 22/10/1994]'", 72.0, 99.0, 59.0, 130.0, 126.0, 7.0, 97.0, 'Normal']
["'[02:23:23 22/10/1994]'", 71.0, 98.0, 59.0, 130.0, 123.0, 7.0, 97.0, 'Normal']
["'[02:23:24 22/10/1994]'", 71.0, 97.0, 59.0, 130.0, 123.0, 7.0, 97.0, 'Normal']
["'[02:23:25 22/10/1994]'", 71.0, 97.0, 59.0, 131.0, 120.0, 7.0, 97.0, 'Normal']
["'[02:23:26 22/10/1994]'", 72.0, 98.0, 59.0, 131.0, 118.0, 7.0, 97.0, 'Normal']
["'[02:23:27 22/10/1994]'", 72.0, 98.0, 59.0, 131.0, 118.0, 8.0, 97.0, 'Normal']
["'[02:23:28 22/10/1994]'", 72.0, 98.0, 59.0, 131.0, 118.0, 8.0, 97.0, 'Normal']
["'[02:23:29 22/10/1994]'", 71.0, 97.0, 59.0, 131.0, 118.0, 8.0, 97.0, 'Normal']
["'[02:23:30 22/10/1994]'", 72.0, 97.0, 59.0, 131.0, 115.0, 8.0, 97.0, 'Normal']
